OrderID,Date,CustomerID,Product,Category,Sales,Quantity,Profit,Region
2ef90455,2023-08-12,8a77cd,Treadmill,Sports & Fitness,2378.06,1,675.32,South
4f0cf8be,2023-10-24,987e51,Laptop,Electronics,2720.23,2,662.35,East
4023e5db,2023-05-02,ffd405,Perfume,Beauty & Health,2841.98,4,740.93,West
e86aa462,2023-06-08,610bb7,Office Chair,Furniture,2322.94,5,265.89,West
665179d3,2023-11-22,ace55a,Electric Toothbrush,Beauty & Health,4785.74,6,929.52,South
d966d6b0,2023-06-27,c6d11d,Electric Toothbrush,Beauty & Health,4102.51,4,307.75,East
3588e133,2024-09-23,d29b40,Dining Table,Furniture,4942.04,1,653.33,North
b29ee42f,2024-11-02,9860a0,Washing Machine,Home Appliances,286.73,6,27.54,West
e8f43816,2024-02-11,78be44,Skincare Kit,Beauty & Health,3280.53,7,244.93,East
9a62e49e,2023-12-31,8e7a06,Smartwatch,Electronics,4361.04,3,1259.8,East
ae6c6816,2024-03-16,3898d2,Tablet,Electronics,4564.1,2,1097.65,South
974cc201,2025-02-13,fc22fc,Vacuum Cleaner,Home Appliances,2001.36,3,132.88,East
9f093ca0,2024-09-30,bbbd1d,Smartphone,Electronics,3870.48,2,556.22,West
6791d6f8,2023-12-12,920160,Fitness Tracker,Sports & Fitness,1391.71,7,390.19,East
f26e7fe5,2023-09-12,c3df4f,Fitness Tracker,Sports & Fitness,3424.54,7,305.4,East
1d12921f,2024-05-02,70c8ef,Vacuum Cleaner,Home Appliances,1244.69,4,94.74,North
5febbaa8,2023-11-19,f4667c,Dumbbells,Sports & Fitness,879.92,9,135.36,West
1f8195ba,2025-02-19,875399,Dumbbells,Sports & Fitness,3405.98,7,857.53,West
380af3af,2023-08-05,b5b659,Refrigerator,Home Appliances,3230.31,1,699.31,East
4f153c04,2024-11-28,f3fcc8,Smartwatch,Electronics,4207.62,9,295.07,South
e57bb323,2024-03-11,c73ff0,Treadmill,Sports & Fitness,1539.88,3,340.66,West
e651af9a,2024-10-21,3d249c,Bicycle,Sports & Fitness,3995.62,6,978.88,North
02254da3,2024-01-21,5fc266,Office Chair,Furniture,3581.7,7,821.42,South
d00c0fca,2023-03-17,b6cc0d,Smartwatch,Electronics,1636.85,4,246.19,North
505b2f3e,2023-10-18,4e3e6e,Fitness Tracker,Sports & Fitness,4401.53,8,871.16,West
5ddc3ce0,2024-11-08,0f1c5c,Vacuum Cleaner,Home Appliances,4937.75,3,499.37,North
1f558893,2024-07-19,7ae802,Vacuum Cleaner,Home Appliances,4002.49,3,1193.3,Central
f43e1548,2023-07-17,c461fc,Fitness Tracker,Sports & Fitness,3356.83,4,685.3,North
04c0d4e5,2023-06-10,de5477,Tablet,Electronics,1964.02,2,437.94,Central
447adea1,2023-11-30,843a70,Skincare Kit,Beauty & Health,4872.49,9,830.95,West
326ecdf6,2023-09-26,231ec9,Hair Dryer,Beauty & Health,870.78,2,254.13,West
